name,price,bottle,type_wine,region,grapes,producer,wine_description,tasting_descr,tasting_view,tasting_bouquet,tasting_mouth,serving_storage_conditions,serve_temperature,food_pairing,alergens,alcohol_content,production,winemaking_info,vessel_material,aging_period,casks_age,casks_wood,more_winemaking_info,vineyards,type_agriculture,vineyard_age,soil_type,climate,orientation,surface,customer_reviews,customer_reviews_number,last_score_parker,last_score_penin,last_score_year,image,url,year,last_score_parker_num
Aalto 2020,£36.00,,Red wine,Ribera del Duero ,Tempranillo,Aalto,"Aalto is one of the Ribera del Duero’s great benchmarks, a wine of excellent balance and complexity, full of power and personality, mature and elegant, which owes its virtues to some magnificent grapes of the Tinta Fina (Tempranillo) variety, to the diversity of soils and to the vast experience of Mariano García, the wine maker who for thirty years was in charge of the production of Vega Sicilia wines. Right from the very start, it has been one of the finest examples of a modern Ribera, which has now become a classic, a fundamental Ribera and a wine for those special occasions.","Aalto is the emblematic name of a winery which has become a benchmark in the Ribera del Duero. The extensive experience of Mariano García, who was Vega Sicilia’s winemaker for thirty years, comes through in the powerfulness and complexity of the wines.",Dark / Bright / Opaque,Fruit aromas / Liquorice / Vanilla / Coffee / Tobacco / Graphite,Intense / Fruit-forward / Creamy / Corpulent,,Serve between 16ºC and 18ºC,Stews and casserolesSausages and hamRed meat,Contains sulfites,14.5,"250,000 - 300,000  bottles",,18 months,New and semi-new,French and American oak,,,,,Between 40 and 80 years,Calcareous-clay / Sand / Stony,Continental,Very low yields,,4.8,116,94,,2020.0,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/aalto20_anv800_1662562962.png,https://www.vinissimus.com/en/wine/aalto/,2020.0,94.0
Ànima Negra ÀN/2 2020,£22.00,,Red wine,Wines without GI ,"Callet, Fogoneu, Cabernet Sauvignon",Ànima Negra Viticultors,"ÀN/2 is a little gift, but a most rewarding one, from the Mediterranean countryside, presented by a team that champions native varieties and wines with a personality all of their own.
No doubt few people have heard of varieties such as Callet or Fogoneu (or Manto Negro, although not present in all of this wine’s vintages); they are varieties found in Mallorca, adapted to its land, able to convey the special characteristics of the soil, abundant in iron oxide, and to exhibit some distinctive aromas.
ÀN/2 is a sincere wine. It is accessible, high quality, well-made, reflecting the typicality of Mallorca; it has personality, and offers a very good pleasure/price ratio.","Once in the glass, we can predict that it will be an accessible wine: a dark red Morello cherry colour but of medium density, not showing great concentration, very clean and bright. When we bring it close to the nose, we immediately appreciate the wide array of aromas. It appears very open and accessible, without being extreme: aromas of fresh, ripe fruit (cherries, strawberries, even a subtle waft of cherries in liqueur), sweet notes, of sweet strawberry, balsamic notes and a mineral background of dry stone. It is very fresh, undeniably a Mediterranean wine, enshrouded by a gentle perfume of smoky hints and lactic notes. A wine of remarkable complexity.
On the palate, that sweetness discerned on the nose contrasts with a faint bitterness which makes the wine extremely memorable. It is intense, balanced and an easy drink; generous, medium-bodied, with earthy undertones and traces of pepper which, along with its good acidity, result in a delicious, refreshing sensation. Enveloping and elegant (it makes us think of a Burgundy Pinot Noir), juicy and rounded – the memory of it is reluctant to take its leave… but not the bottle; that is easily finished and gone.
As regards the aftertaste, some light toasty nuances and scrubland notes bring the tasting to a close. Most satisfactory.",,,,"The Ànima Negra story began by chance, like many other stories do, when three Majorcan friends, Francesc Grimalt, Pere Obrador and Miguel Ángel Cerdà came up with the idea of making a wine from native grape varieties found growing in the surrounding countryside.
It happened not so long ago (in about 1994), but thanks to the great enthusiasm they felt for this project and the excellent results obtained right from the start, it can now be truthfully said that their winery has...",Serve between 16ºC and 17ºC,,Contains sulfites,13.0,,,Wood,12 months,New and semi-new,French and American oak,,,,,,,,,4.5,28,91+,,2020.0,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/anmn220_anv800_1646158842.png,https://www.vinissimus.com/en/wine/anima-negra-an-2/,2020.0,91.5
Viña Tondonia Reserva Blanco 2012,£74.20,,White wine,Rioja ,"Viura, Malvasia",Bodegas R. López de Heredia ,"Tondonia whites are much more than classics. They are icons of tradition, examples of honesty and wines which exude knowledge, craftsmanship and authenticity. They are wines with principles and wines without an end; their extraordinary acidity makes them virtually eternal. They are extremely pleasant, elegant and profound, and wines you could never tire of drinking.
If the Gran Reserva is perhaps out of many people's reach, the Blanco Reserva is a wine that you should try at least once in your life, and one to always have in the cellar if possible; it is a particularly 'gastronomic' wine, relating well to food, perfect for fish and fried or grilled shellfish, cheeses such as Brie, Parmesan and Manchego, risottos, seafood rice dishes, fish stews, lobster, pasta dishes with truffles, mushrooms, asparagus, potatoes with cod or monkfish, scrambled eggs with wild mushrooms or fresh garlic, white tuna with tomato or onion... This is a white but at heart a red, much more vinous than fruit-driven, ideal for serving with food.
The honesty of a Tondonia white becomes clear starting with the bottle: transparent. The cork is superb; this wine can be kept for years and years, with no expiry date. In the glass, a vivid bright gold, eternally young. On the nose... give it some time; after maturing for six years in barrel and resting for a long time in bottle, it needs to breathe; if you can, decant it. Describing it is difficult because its aromatic palette is very well integrated. We can discover aromas of very ripe yellow fruits, moist notes of fallen leaves but also of sea air, saline and iodine notes, hints of fine wood... of pencil shavings, suggestions of fennel and aniseed, white almonds, very subtle notes too of fruit peel, like orange, loquats and dried apricots, and dry earth... but in essence, Tondonia Blanco has a mystical touch, an aromatic profile that we associate with the smell emanating from old tomes and rooms perfumed with incense. The Blanco Reserva is a journey in time, a resurgence of fond memories.
It is firm and dry on the palate; harmonious, balanced and elegant. Its entry is smooth but weighty, and it is oily, although without the Gran Reserva’s viscosity. This is definitely a fine white wine, bearing the Tondonia signature.  ","R. López de Heredia (Viña Tondonia) is one of the names which inspires most respect and admiration with regard to wineries producing ""fine wine"". It is, moreover, the oldest winery in the emblematic town of Haro and one of the first three set up in La Rioja.",Pale amber,Fine / Complex / Evolving / Crystallised fruit / Flowers / Candied orange,Smooth / Firm / Persistent,,Serve between 14ºC and 16ºC,,Contains sulfites,12.5,"35,000  bottles",,72 months,Used,American oak,Unfiltered,,,,100 years,Alluvial / Limestone,Atlantic,110.00 hectares,,4.7,36,95,,2012.0,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/vtob12_anv800.png,https://www.vinissimus.com/en/wine/vina-tondonia-blanco-reserva/,2012.0,95.0
Kármán Tinto 2021,£11.60,,Red wine,Rioja ,"Garnacha, Tempranillo",Gómez Cruzado,,,,,,,,,Contains sulfites,14.5,,,Stainless steel,8 months,,,,,,,,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/krman21_anv800.png,https://www.vinissimus.com/en/wine/karman-tinto/,2021.0,
Salinas Mo Monastrell 2017,£9.40,,Red wine,Alicante ,"Monastrell, Cabernet Sauvignon, Alicante Bouschet",Bodegas Sierra Salinas,"Made with Monastrell and Alicante Bouschet grapes from vineyards over 20 years old, and Cabernet Sauvignon over 10 years old. Cultivated on stony soil, poor in organic matter. Limestone subsoil with clay areas at the bottom of the valley. Manual harvest and aged in French oak barrels for 4 months.  Intense red, with purple trim and middle layer. On the nose, aromas of fresh red fruits, with light spicy notes and memories of bakery. In the mouth it is soft, notes of juicy red fruit, with good structure and long tannin finish and acidity balanced and pleasant.","The boundary where the province of Alicante meets Murcia is the location for the Bodegas Sierra Salinas vineyards, parcels of land that were purchased by the Castaño family in the year 2000 in a strong show of commitment to the Monastrell grape variety, technology (without forgetting the legacy of past generations) and quality at every stage of production.
Both the estate and the winery are situated in the foothills of the Sierra de Salina, north of Alicante, within the municipal...",Picota cherry red / Purple rim / Semi-opaque,Fruit aromas / Red fruit / Raspberry / Toasty notes / Aromas of baked bread / Spicy notes / Black pepper,Smooth / Pleasant / Red fruit / Structured / Fresh / Well-integrated tannins / Balanced acidity / Long finish,,Serve between 14ºC and 16ºC,,Contains sulfites,14.0,,,,,,,,,,,,,,,4.1,16,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/salmo17_anv800.png,https://www.vinissimus.com/en/wine/salinas-mo-monastrell/,2017.0,
Viña Tondonia Gran Reserva Histórico 1981,£231.90,,Red Wine,Rioja ,"Tempranillo, Garnacha, Mazuelo, Graciano",Bodegas R. López de Heredia ,"Viña Tondonia Gran Reserva wines are very rich and elegant, eminently appealing and satisfying. Their lengthy ageing, lasting ten years, with racking carried out by hand twice a year, endows them with certain special characteristics that make them particularly long-lived; these are wines which, if they have been kept well, can be enjoyed after a period of many, many years.
The Viña Tondonia Gran Reserva is a delicate wine, with a very fine nose, dry and smooth on the palate, rounded and precise, as are all the wines from this emblematic company, a wine which will always be remembered and proves a delicious accompaniment to meats, poultry and fish without too much seasoning. It is the ideal wine for extra special celebrations and occasions.
If drinking a Gran Reserva from Viña Tondonia really is a little luxury and having a bottle in the cellar equates to owning treasure, being able to get hold of one of their most memorable vintages is a real privilege, within reach of few, and not just because of its price: Viña Tondonia only offers its historic wines to a very small number of customers, rewarding their loyalty, and this occurs on rare occasions when a very limited number of bottles are secured.
-----------------------------------
Storage conditions for the historic wines now available from Vinissimus
Vinissimus would like to inform its customers that bottles of the historic vintages of Viña Tondonia and Viña Bosconia are not being stored in our fine wine cellar but in the actual underground cellars of Bodegas R. López de Heredia, in Haro (La Rioja), the best guarantee that the wine has always been kept in optimum conditions.
Bottles will only leave the winery in Haro to be sent to customers who have requested them in their Vinissimus orders, in special packaging deemed fit by the actual winery, so that the best possible care is taken of them during transit.
Information about the characteristics of the bottles and returns guarantee
A customer who purchases one of these historic bottles should be aware that the wine and bottle are very special, with no entitlement to a refund.
Since the bottles have been resting in the winery's cellars for many years, at a constant temperature with high humidity, not only can they acquire mould and dust, but this will be left on the bottles, and they will be dispatched exactly as they are, in their natural state, as an additional proof of their true age.
Moreover, due to the fact that these bottles have been filled by hand and have been ageing over a long period of time, the height of the wine in the bottle neck is always irregular, even including wines from the same vintage. These wines have been bottled, sealed and labelled by hand.
Returns will only be accepted in the case of bottles verified as corked and the defect will need confirmation from the winery itself. In such an eventuality, the customer should send back the bottle with its contents, cork and original packaging, to the address as notified by Vinissimus. A new bottle will be sent out, only if the defect is confirmed by the winery.
Recommendations for enjoying a historic wine
After you have received the wine, you should allow it to settle for at least a week, preferably in a quiet, dark, cool place. The storage temperature and humidity should be constant. Humidity between 70-80% and temperature between 18-20º C.
If you decide to decant the wine, we recommend doing this carefully and allowing the wine to settle in the decanter for at least an hour before serving. Take great care when pouring, trying not to move the decanter unduly.
If you decide not to decant, we also recommend letting the bottle settle by keeping it vertical for an hour, so that any possible sediment remains at the bottom. Care should be taken when opening the bottle, since a cork may lose its elasticity over the years. Pour the wine with care, ensuring minimal movement of the bottle.","R. López de Heredia (Viña Tondonia) is one of the names which inspires most respect and admiration with regard to wineries producing ""fine wine"". It is, moreover, the oldest winery in the emblematic town of Haro and one of the first three set up in La Rioja.",,,,,Serve between 18ºC and 20ºC,,Contains sulfites,12.5,"36,000  bottles",,96 months,Used,American oak,Unfiltered,,,,,,,,,5.0,5,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/vtogr81_anv800.png,https://www.vinissimus.com/en/wine/vina-tondonia-gran-reserva-historico/,1981.0,
Blanco Nieva Sauvignon 2020,£11.60,,White wine,Rueda ,Sauvignon Blanc,Viñedos de Nieva,"A well-known variety producing a singularly different wine. The Sauvignon grape has succeeded in adapting perfectly to the soils of Segovia, allowing its characteristics to be enhanced by the terroir. The result is a fresh, elegant wine boasting a distinctive flavour.
A greenish, straw-yellow colour, it comes over clean and bright in appearance. The nose is particularly varietal, with herbaceous aromas, and hints of fig leaves, peaches and exotic fruits. It is generous, fresh and rather unctuous on the palate with good persistence.","Viñedos de Nieva was founded in 1989 with a view to the proper cultivation of their vineyards and to producing and marketing their wines, in an area traditionally dedicated to vine-growing and wine-producing since trade started up in the 12th Century. Located north-west of the city of Segovia, the bodega lies within the municipality of Santa María La Real de Nieva, which had enjoyed its best wine years during the 19th Century, when the Jeronimo monks had been very...",,,,,,,Contains sulfites,12.5,,,,,,,,,,,,,,,3.8,4,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/bnisb20_anv800.png,https://www.vinissimus.com/en/wine/blanco-nieva-sauvignon/,2020.0,
Tardencuba Autor 2018,£19.60,,Red wine,Toro ,Tinta de Toro,Tardencuba,"Made from grapes grown on pre-phylloxera vines.
Aged for 15 months in French oak barrels. Subsequent repose in bottle for a further 15 months.","Descendants of Bodegas Ramón Ramos, José Ramos Sánchez and Ramón Ramos Sánchez, are the founders of Tardencuba.
The winery, measuring 1,000 square metres, is divided into areas of production, ageing and bottling. For the aged wines, they have 300 French and American oak barrels.
They have access to 7 hectares where they cultivate, on poor, sandy and stony soils, pre-phylloxera vines over 110 years old, of the Tinta de Toro, Malvasía and...",Pitch black,Ripe fruit / Cinnamon / Vanilla / Dark chocolate / Red fruit / Roasted notes,Fleshy / Powerful / Flavoursome,,,,Contains sulfites,14.5,,,,,,,,,,,,,,,4.8,9,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/tecau18_anv800.png,https://www.vinissimus.com/en/wine/tardencuba-autor/,2018.0,
Vella Lola Rosat 2019,£12.20,,Rosé wine,Empordà ,Garnacha,Celler Viníric,,,Caramel red / Bright / Intense,Powerful / Higly aromatic / Fruit aromas / Black fruit / Fresh strawberry / Candy sweets,Fresh / Fruit aromas / Strawberries / Long / Persistent,,,,Contains sulfites,13.0,"2,650  bottles",,,,,,,,,,,,,,4.0,1,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/vlors19_anv800.png,https://www.vinissimus.com/en/wine/vella-lola-rosat/,2019.0,
Malpendre 2020,£14.20,,White wine,Rueda ,Verdejo,Viñadores de Madrigal,,,Lemony yellow / Pale,Clean / Moderately aromatic / Fruit aromas / White fruit / Citrus fruits / Fennel / Brioche,Dry / Good acidity / Medium-bodied / White fruit / Bakery notes / Long finish / Fresh,,,,Contains sulfites,12.5,,,,,,,,,,,,,,,0.0,0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/mlpdr20_anv800.png,https://www.vinissimus.com/en/wine/malpendre/,2020.0,
