rioja_alavesa,cava_cataluña,cava_extremadura,cava_valencia,jumilla_murcia,jumilla_albacete
Amador García,ADERNATS - Vinícola de Nulles,Bodegas Dehesa de Arriba (Grupo Martínez Paiva),BODEGAS HISPANOSUIZAS S.L.,Bodega El Lagar de las Puntillas,Bodega Antonio García Molina
Dominio de Berzal,"AGRÍCOLA I SECCIÓ DE CRÈDIT DE LLORENÇ DEL PENEDÈS,SCCL",BODEGAS MARCELINO DIAZ S.A.,Chozas Carrascal,Bodega Madrid Romero,Bodega Cerrón
Luberri Monje Amestoy,AGUSTÍ TORELLÓ MATA,Bodegas Romale,DOMINIO DE LA VEGA,Bodega Sierra Norte,Bodegas Ontalba
Murua,ALTA ALELLA,López Morenas S.L.,MONTESANCO,Bodegas 1890,Bodegas Pío del Ramo
Pago de Larrea,ARTCAVA,"VIA DE LA PLATA, S. L.",PAGO DE THARSYS,Bodegas Alceño,Bodegas San Dionisio
Valdelana,AVINYÓ,,Unión Vinícola del Este,Bodegas Arloren,Bodegas Santiago Apóstol
Viña Salceda,Batllori,,,Bodegas Asensio Carcelén,Bodegas Torrecastillo
Bodega Marqués de Riscal,BERTHA,,,Bodegas Bleda,Bodegas Venta de las Cuevas
Altos de Rioja,BLANCHER CAPDEVILA PUJOL S.A,,,Bodegas BSI,Coop. Ntra. Sra. Encarnación
Lar de Paula,BODEGA SANSTRAVÉ,,,Bodegas Carchelo,DOBLEDEPEREZ Microbodega
Bodega San Roque S.COOP.,Bodegues Ca n'Estella S.L.,,,Bodegas Casa Castillo,Finca El Olmillo
González Teso,Bodegues Sumarroca,,,Bodegas Delampa,Finca Monastasia
Mitarte,BOLET ORGANIC WINES & CAVAS,,,Bodegas El Nido,Ramón Izquierdo Viñedos y Bodegas
Bodegas y Viñedos Labastida Solagüen,Buti Masana,,,Bodegas Juan Gil,
Tierra,CANALS CASANOVAS,,,Bodegas Lo Nuevo,
Bodegas Las Orcas,"CANALS & DOMINGO, S.L.",,,Bodegas Luzón,
Campillo,Canals & Munne SL.,,,Bodegas Nido del Cuco,
Casa Primicia,CANALS NADAL,,,Bodegas Olivares,
Carlos San Pedro Pérez de Viñaspre,CAN SALA,,,Bodegas Ribera del Juá,
El Fabulista,Carol Vallès,,,Bodegas Salzillo,
Gómez de Segura,Casa Berger,,,Bodegas Silvano García,
Javier San Pedro Ortega,CASA RAVELLA,,,Bodegas Viña Elena,
Viña Lamioga,Castellblanc,,,Bodegas Xenysel,
Mayor de Migueloa,CASTELL D'AGE,,,Ego Bodegas,
Cosme Palacio,CASTELL SANT ANTONI,,,Esencia Wines Cellars,
Ruiz de Viñaspre ,CASTELO DE PEDREGOSA,,,J. García Carrión,
Solar de Samaniego,Cava Almirall,,,Parajes del Valle Bodegas y Viñedos,
Orube de Solar Viejo,CAVA BERDIÉ,,,,
Vallobera,CAVA EL MAS FERRER,,,,
Viña Real,CAVA ESMEL,,,,
Ysios,Cava Guilera,,,,
De Luis R.,CAVA & HOTEL MASTINELL,,,,
Bodegas y Viñedos Casado Morales,CAVA JOSEP M. FERRET GUASCH,,,,
Covila,Cava Magrinyà Calaf,,,,
Estraunza,Cava Mestres,,,,
Loli Casado,Cava Miquel Pons,,,,
Muro,CAVAS CASTILLO DE PERELADA,,,,
Lozano,Cavas Hill,,,,
Faustino,Cava Torreblanca Grimau,,,,
Ondalán,CAVA VARIAS,,,,
Valdemar,Caves Bohigas,,,,
Eguren Ugarte,CAVES FÈLIX MASSANA RÀFOLS,,,,
García de Olano,CAVES NAVERAN,,,,
Torre de Oña,Caves Planas Albareda,,,,
Amaren,Caves Romagosa Torné,,,,
Baigorri,Caves Soler Jové,,,,
Bello Berganzo,CAVES VENTURA SOLER,,,,
Bodegas Heredad de Aduna,CAVES VILARNAU,,,,
Ostatu,Celler Carles Andreu,,,,
Pascual Berganzo-Alútiz Vinos,Celler Cooperatiu d'Artés (ARTIUM),,,,
Pascual Larrieta,Celler Eudald Massana Noya,,,,
Remírez de Ganuza,CELLER JORDI LLUCH - VINYA ESCUDÉ,,,,
Bideona,CELLER PARATÓ,,,,
Hnos. Frías del Val,CELLERS ALSINA SL         ALSINA & SARDÀ,,,,
Izadi,"CELLERS DE CAN SURIOL DEL CASTELL, SL",,,,
Juan José García Berrueco,Celler Vell Cava,,,,
Luis Cañas,Codorníu,,,,
Viñedos y Bodegas de la Marquesa Valserrano,CONDE DE VALICOURT,,,,
,COVIDES SCCL,,,,
,Cuscó Berga,,,,
,Domenio Wines by Cellers Domenys,,,,
,DOMINGO JOVÉ MARTÍ,,,,
,EL XAMFRÀ,,,,
,Escola Agrària de Viticultura i Enologia Mercè Rossell i Domènech,,,,
,Ferré i Catasús S.L.,,,,
,"FINCA VALLDOSERA, S.A.",,,,
,Fonpinet,,,,
,"FREIXA RIGAU, S.A.",,,,
,Freixenet,,,,
,GATELL WINES,,,,
,GIBERT,,,,
,Giró del Gorner,,,,
,Giró Ribot,,,,
,"JANÉ SANTACANA, S.L.",,,,
,JANE VENTURA,,,,
,JAUME GIRÓ I GIRÓ,,,,
,Joan Sardà,,,,
,Josep Masachs,,,,
,JUVÉ & CAMPS,,,,
,LACRIMA BACCUS,,,,
,LLAGRIMA D'OR SLU,,,,
,LUDENS S.A,,,,
,MARIA CASANOVAS,,,,
,Maria Oliver Portí,,,,
,Maria Rigol Ordi,,,,
,MARQUES DE LA CONCORDIA FAMILY OF WINES,,,,
,MARTÍ GRAU VITICULTORS,,,,
,MASCARO,,,,
,MAS CODINA,,,,
,Mas de la Basserola,,,,
,Maset,,,,
,Masia Pere Rius,,,,
,MASOLIVE S.A.,,,,
,MATA I COLOMA SL,,,,
,MOLÍ PARELLADA,,,,
,Monastell,,,,
,Montau de Sadurní,,,,
,MONTESQUIUS,,,,
,MONT MARÇAL VINICOLA S.A.,,,,
,Muscàndia,,,,
,OLIVER VITICULTORS,,,,
,Oriol Rossell,,,,
,PAGÈS ENTRENA,,,,
,Parés Baltà,,,,
,Parxet,,,,
,PERE VENTURA,,,,
,Ramon Canals Canals S.A.,,,,
,"RAVENTÓS ROSELL, S.L.",,,,
,RIMARTS CAVA,,,,
,"ROGER GOULART, S.A.U",,,,
,ROSELL & FORMOSA,,,,
,ROSMAS,,,,
,ROURA,,,,
,Rovellats Cava,,,,
,Segura Viudas,,,,
,Solà Raventós,,,,
,Torné & Bel,,,,
,Torres Prunera,,,,
,U MES U,,,,
,VALLFORMOSA,,,,
,Vila Morgades,,,,
,VINS EL CEP,,,,
,Vins i Caves Joan Segura Pujadas,,,,
,VINS I CAVES PERE OLIVELLA GALIMANY,,,,
,VINS I CAVES PORTELL,,,,
,VIVES AMBRÒS,,,,
