wine,year,winery,price,bottle,type_wine,type_wine_details,grapes,num_varieties,type_agriculture,region,region_gi,alcohol_content,tasting_notes,customer_reviews,customer_reviews_number,parker_score,parker_score_num,penin_score,image,url
Ultreia Saint Jacques 2021,2021,Raúl Pérez Viticultor,16.2,0.75,Red,Red,Mencia,Varietal,Conventional,Castilla y León,Bierzo,13.5,red_fruit mineral voluminous medium-bodied raspberry violets,4.2,217.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/ultsj20_anv800_1662703943.png,https://www.vinissimus.com/en/wine/ultreia-saint-jacques/
Blanc Pescador,,Perelada,7.8,0.75,Sparkling,Frizzante white,Macabeo,Blend,Conventional,Wines without GI,Wines without GI,11.5,light pleasant sparkling aromatic fruit highly_aromatic,4.4,45.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/blpesca_anv800.png,https://www.vinissimus.com/en/wine/blanc-pescador/
Blanc Pescador,,Perelada,7.8,0.75,Sparkling,Frizzante white,Parellada,Blend,Conventional,Wines without GI,Wines without GI,11.5,light pleasant sparkling aromatic fruit highly_aromatic,4.4,45.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/blpesca_anv800.png,https://www.vinissimus.com/en/wine/blanc-pescador/
Blanc Pescador,,Perelada,7.8,0.75,Sparkling,Frizzante white,Xarel·lo,Blend,Conventional,Wines without GI,Wines without GI,11.5,light pleasant sparkling aromatic fruit highly_aromatic,4.4,45.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/blpesca_anv800.png,https://www.vinissimus.com/en/wine/blanc-pescador/
Bach Extrísimo Blanco Semidulce 2021,2021,Masia Bach,9.4,0.75,White,White,Xarel·lo,Blend,Conventional,Cataluña,Catalunya,11.5,good_entry structured balanced good_acidity fleshy persistent highly_aromatic complex fruit floral_scents camomile_tea honey wood toffee,4.8,95.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/baexs21_anv800.png,https://www.vinissimus.com/en/wine/bach-extrisimo-blanco-semi-dulce/
Bach Extrísimo Blanco Semidulce 2021,2021,Masia Bach,9.4,0.75,White,White,Macabeo,Blend,Conventional,Cataluña,Catalunya,11.5,good_entry structured balanced good_acidity fleshy persistent highly_aromatic complex fruit floral_scents camomile_tea honey wood toffee,4.8,95.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/baexs21_anv800.png,https://www.vinissimus.com/en/wine/bach-extrisimo-blanco-semi-dulce/
José Pariente Verdejo 2022,2022,Bodegas José Pariente ,16.2,0.75,White,White,Verdejo,Varietal,Conventional,Castilla y León,Rueda,13.0,rich unctuous pleasant_bitterness white_fruit apricot fennel aniseed,4.4,147.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/jpave21_anv800_1644339597.png,https://www.vinissimus.com/en/wine/jose-pariente-verdejo/
Coto de Imaz Reserva 2018,2018,El Coto de Rioja,13.0,0.75,Red,Red,Tempranillo,Varietal,Conventional,La Rioja,Rioja,13.5,fleshy powerful ripe_tannins velvety ripe_fruit spicy complex,4.4,94.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/cimaz17_anv800_1654168378.png,https://www.vinissimus.com/en/wine/coto-de-imaz-reserva/
René Barbier Semi Dulce 2021,2021,René Barbier,8.8,0.75,White,White,Macabeo,Blend,Conventional,Cataluña,Catalunya,11.5,smooth fresh light floral  fruit white_fruit apple pear banana floral_scents orange_blossom,4.8,88.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/vaugs21_anv800_1657200350.png,https://www.vinissimus.com/en/wine/rene-barbier-vina-augusta-semi-dulce/
René Barbier Semi Dulce 2021,2021,René Barbier,8.8,0.75,White,White,Parellada,Blend,Conventional,Cataluña,Catalunya,11.5,smooth fresh light floral  fruit white_fruit apple pear banana floral_scents orange_blossom,4.8,88.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/vaugs21_anv800_1657200350.png,https://www.vinissimus.com/en/wine/rene-barbier-vina-augusta-semi-dulce/
